-144.2,6.5,-7.7,1.0
-142.5,3.6,16.3,1.0
-156.8,1.3,11.0,1.0
-119.6,3.3,-34.7,1.0
-86.2,11.7,24.3,1.0
-122.5,10.6,12.0,1.0
-85.5,7.2,9.8,1.0
-137.6,7.0,-6.8,1.0
-113.8,11.8,14.1,1.0
-136.1,4.6,-41.6,1.0
-148.5,5.9,-31.2,1.0
-153.0,6.9,-19.2,1.0
-90.3,20.8,45.6,1.0
-166.4,5.2,-17.6,1.0
-108.6,5.7,-13.4,1.0
-136.9,5.5,8.7,1.0
-71.1,6.2,15.6,1.0
-153.1,5.3,-42.5,1.0
-103.4,12.6,14.9,1.0
-124.0,10.7,22.9,1.0
-137.9,6.9,-23.7,1.0
-114.0,10.9,0.2,1.0
-127.6,7.7,-18.3,1.0
-92.2,11.7,14.9,1.0
-45.9,9.8,40.6,1.0
-123.4,11.3,-1.4,1.0
-167.9,1.5,-4.4,1.0
-131.2,4.9,-33.2,1.0
-108.6,5.3,-22.6,1.0
