1007,1002,3
1008,1002,2
1009,1001,1
1009,1002,5
1010,1003,2
2001,2000,1
2001,1001,1
2002,2011,1
2002,1001,1
2004,2003,1
2004,1001,2
2006,2005,1
2006,1001,2
2007,2003,1
2007,2011,1
2007,1001,3
2008,2003,1
2008,2009,2
2008,2011,1
2008,1001,2
2009,2010,1
2011,2011,1
2014,2013,1
2014,1001,1
2017,1002,4
2017,1010,1
2018,2009,1
2018,2017,1
2018,2011,1
2018,1001,3
2015,1010,5
2016,1010,10
3001,1001,1
3001,1002,3
3001,1010,1
3002,1001,2
3002,1002,1
3003,1001,1
3003,1009,2
3004,1001,1
3004,1002,1
3004,1010,1
3005,1001,1
3005,1002,2
3005,1010,1
4001,1001,8
4001,1007,7
4002,1001,5
4002,1008,1
4002,1010,2
4003,1001,3
4003,1002,3
4003,1010,2
4005,1004,10
4005,1005,5
4007,1002,15
4008,1001,25
4008,1005,10
4008,1007,7
4009,1004,10
4009,1006,15
4010,1001,6
4010,1006,4
4011,1001,4
4011,1007,2
4011,1010,2
4012,1001,6
4012,1010,3
5000,1001,30
5000,1007,15
5001,1002,4
5001,1010,5
5002,1003,4
5002,1007,15
5002,1010,2
5003,1001,25
5003,1010,3
5004,5000,1
5004,5001,1
5004,5002,2
5004,5003,4
6000,1001,2
6000,1010,1
6001,1001,2
6001,1007,1
6002,1001,5
6002,1007,2
6003,1001,7
6003,1002,1
6004,1001,20
6004,1007,2
6004,1010,2
6005,1001,15
6005,1007,4
6006,1001,5
6006,1007,2
6007,1001,8
6008,1001,9
6008,1007,5
6009,1001,5
7002,2012,1
