-177.0,0.6,-14.2,1.5
-150.7,0.9,24.5,1.5
-161.8,0.9,13.1,1.5
-159.2,5.6,-20.1,1.5
71.1,0.6,-66.3,1.5
-141.3,5.1,-43.8,1.5
-137.9,5.2,21.4,1.5
-172.3,2.8,-36.7,1.5
-153.3,1.3,-54.8,1.5
36.0,0.7,12.1,1.5
-104.6,1.2,-33.5,1.5
-138.2,4.6,-36.9,1.5
72.8,1.2,-60.5,1.5
-89.5,5.1,-3.0,1.5
-82.6,5.6,6.0,1.5
26.5,0.7,12.1,1.5
-114.0,2.6,-33.5,1.5
-90.7,3.1,-9.9,1.5
-96.4,2.9,-20.5,1.5
-132.8,6.1,-28.3,1.5
-138.4,4.2,-46.8,1.5
-177.0,2.0,-28.5,1.5
16.5,1.1,12.1,1.5
-159.0,0.7,-117.2,1.5
-155.6,2.0,9.9,1.5
71.2,0.3,-53.1,1.5
-85.4,0.7,-20.5,1.5
-155.8,0.7,-111.2,1.5
-151.8,0.7,-113.3,1.0
-97.8,5.1,-11.5,1.5
-159.9,1.3,-52.7,1.5
-119.0,4.0,-28.3,1.5
-133.0,2.0,40.0,1.5
-148.0,5.1,-41.8,1.5
-146.6,5.6,-32.8,1.5
-174.6,1.7,-44.1,1.5
-165.7,0.6,9.6,1.5
19.1,0.7,5.3,1.0
-107.5,2.9,-30.5,1.5
-113.9,6.1,-21.4,1.5
14.8,1.1,21.8,1.5
-164.9,4.5,-41.3,1.5
-170.3,4.7,-25.2,1.5
-142.3,5.7,-3.3,1.5
-171.3,2.7,-14.2,1.5
-169.3,2.1,-46.8,1.5
-129.7,4.6,-33.5,1.5
13.9,1.1,16.8,1.5
-104.9,5.1,-17.1,1.5
-96.9,1.2,-29.2,1.5
-136.6,2.3,35.0,1.5
-155.0,5.6,-15.8,1.5
-177.0,2.0,-22.7,1.5
-152.2,1.9,15.7,1.5
-151.8,1.4,-118.1,1.5
-126.1,5.4,-28.3,1.5
-170.5,1.2,-6.9,1.5
-118.0,7.7,-16.9,1.5
67.1,0.6,-58.4,1.5
34.4,0.8,2.0,1.0
-155.3,3.6,-46.8,1.5
-167.4,5.2,-31.2,1.5
-141.4,3.9,22.3,1.5
-120.8,5.8,-23.2,1.5
-143.1,1.6,27.6,1.5
19.0,1.1,16.8,1.0
-158.2,4.5,-43.8,1.5
-134.2,4.4,-37.0,1.0
-114.8,11.8,12.3,1.5
-46.4,10.0,41.7,2.0
-83.9,10.5,21.3,2.0
-166.4,5.1,-18.6,2.0
-138.4,3.2,29.2,2.0
-143.8,3.9,-44.6,2.0
-148.1,3.2,9.5,2.0
-167.4,2.6,-44.6,2.0
-114.1,3.9,-26.7,2.0
